start_time:2016-12-04 17:09:51,device_id:00000001,cmd_cnt:35
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0100,_0101,_0102,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-04 17:10:03,0,113.34042-E,23.14896-N,37.4m,0.0,0.0,0.0,0.000,0.000,2016-12-04,09:10:21,00,12,11,1,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247fee698f,412e00,4130ff,41314129,41335d,41347fee8000,413c05ab,413e02f9,err,41430000,41445360,err,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:03,1,113.34011-E,23.14928-N,-20.3m,1.5,0.8,1.2,0.000,0.000,2016-12-04,09:10:31,14,12,11,3,4100be1fa813,410100072100,err,err,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,err,411130,411500ff,411f0000,41210000,41247ff069a3,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445360,414500,414783,414928,414a51,err,414d0000,414e7cc7
2016-12-04 17:10:04,1,113.34012-E,23.14927-N,-18.6m,1.3,0.8,1.0,0.000,0.000,2016-12-04,09:10:32,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,err,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,err,411f0000,41210000,41247ff769a3,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445360,414500,414783,414928,err,414c29,414d0000,414e7cc7
2016-12-04 17:10:05,1,113.34012-E,23.14927-N,-18.6m,1.5,0.8,1.2,0.000,0.000,2016-12-04,09:10:33,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,err,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06985,412e00,4130ff,41314129,41335d,41347fee8000,413c05ab,err,41422ec4,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:06,1,113.34012-E,23.14927-N,-28.6m,1.5,0.8,1.2,0.000,0.000,2016-12-04,09:10:34,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,err,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,41347ff28000,err,413e02f9,err,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:07,1,113.34012-E,23.14927-N,-31.8m,1.3,0.8,1.0,0.000,0.000,2016-12-04,09:10:35,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,err,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:08,1,113.34012-E,23.14927-N,-31.8m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:10:36,15,12,11,3,err,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff26999,412e00,4130ff,err,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:09,1,113.34012-E,23.14927-N,-37.5m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:37,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,err,41422ec4,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:10,1,113.34012-E,23.14927-N,-37.5m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:38,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff06999,412e00,4130ff,41314129,41335d,41347fee8000,413c05ab,413e02f9,41422ec4,41430000,41445360,414500,414783,414928,414a51,414c29,err,414e7cc7
2016-12-04 17:10:11,1,113.34012-E,23.14927-N,-37.5m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:10:39,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100012,411130,411500ff,411f0000,err,41247ff0698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:12,1,113.34012-E,23.14927-N,-37.5m,1.5,0.9,1.2,0.000,0.000,2016-12-04,09:10:40,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,err,410e8a,410f53,41100011,411130,err,411f0000,41210000,41247fee698f,412e00,4130ff,41314129,41335d,41347fec8000,413c05ab,413e02f9,err,41430000,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:13,1,113.34012-E,23.14927-N,-37.5m,1.5,0.9,1.2,0.000,0.000,2016-12-04,09:10:41,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,err,411130,411500ff,411f0000,41210000,41247ff0698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,err,41445360,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
