start_time:2016-12-09 18:04:12,device_id:00000001,cmd_cnt:32
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-09 18:04:22,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:53,00,00,00,1,41030200,410471,410540,41067f,41077d,410c16ca,410d00,410ea7,err,err,411137,411500ff,411f000d,41210000,4124812e6b51,err,4130ff,41314191,41335d,413481098006,err,413e0274,4142363e,4143003c,41448000,414506,41478b,414928,err,414c37,414d0000,414e7daa
2016-12-09 18:04:23,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:54,00,05,06,1,41030200,410471,410541,41067f,41077d,410c16f3,410d00,410ea3,410f3f,41100269,411137,411500ff,411f000e,41210000,412480516a1b,412e00,4130ff,err,41335d,413480cb8005,413c0544,413e0276,err,4143003d,41448000,414506,41478b,414928,414a51,414c37,414d0000,414e7daa
2016-12-09 18:04:24,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:55,00,05,06,1,41030200,410471,410541,410680,41077d,410c16ec,410d00,err,410f3f,41100278,411137,411500ff,err,41210000,412480a26a43,412e00,4130ff,err,41335d,4134809d8002,413c058d,413e0278,err,4143003e,41447ff2,414506,41478b,414928,414a51,414c37,err,414e7daa
2016-12-09 18:04:25,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:56,00,05,06,1,err,410471,410541,410680,41077d,410c1721,410d00,err,410f3f,41100271,411137,411500ff,411f0010,41210000,41247ef667eb,412e00,4130ff,err,41335d,41347f3f7ffb,413c05d6,err,4142363e,4143003c,41447ff2,414506,err,414928,414a51,414c37,414d0000,414e7daa
2016-12-09 18:04:26,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:57,00,06,06,1,41030200,err,410541,41067f,41077d,410c16c1,410d00,410ea3,410f3f,4110021c,411136,411500ff,411f0011,41210000,41247ee7679b,412e00,err,41314191,41335d,41347c6b7fe5,413c061d,413e027d,41423679,err,41447ff2,414505,41478a,err,414a51,414c36,414d0000,414e7daa
2016-12-09 18:04:27,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:58,00,06,06,1,41030200,41046c,410541,41067e,41077d,410c14d3,410d00,410eaa,410f3f,4110025e,411138,411500ff,411f0012,41210000,41247c1663db,err,4130ff,41314191,41335d,41347c217fe5,err,413e027f,41423652,41430067,41447ff2,err,41478a,414928,414a51,414c36,414d0000,414e7daa
2016-12-09 18:04:28,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:03:58,00,06,06,1,err,410491,410542,41067d,41077d,410c0f9c,410d00,410ea3,410f3f,41100240,411136,411500ff,411f0013,41210000,4124788d5db9,412e00,4130ff,41314191,err,413479687fd0,413c06a2,413e0282,41423617,err,41447ff2,414505,41478a,414928,err,414c36,414d0000,414e7daa
2016-12-09 18:04:29,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:03:59,00,05,06,1,41030200,err,410542,41067e,41077d,410c0f71,err,410ea2,410f3f,41100243,411136,411500ff,411f0014,41210000,4124810f6af7,412e00,4130ff,41314191,41335d,4134812c8007,413c06e2,413e0286,41423617,41430053,41447ff2,414505,41478a,414928,414a51,414c36,414d0000,414e7daa
2016-12-09 18:04:30,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:04:00,00,05,06,1,41030200,410491,410542,410681,41077d,410c0f5b,410d00,410ea0,410f3f,41100238,411136,411500ff,411f0015,err,4124826a6c9b,412e00,4130ff,41314191,err,41348298800e,413c0720,413e0289,41423617,err,41447ff2,414505,41478a,414928,414a51,414c36,414d0000,err
2016-12-09 18:04:31,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2091-00-00,10:04:01,00,05,06,1,41030200,410491,410542,410684,41077d,410c0f1f,410d00,410e9b,410f3f,41100232,err,411500ff,411f0016,41210000,412481fa6bd3,412e00,4130ff,41314191,41335d,413481f1800b,413c0720,err,41423617,41430051,41447ff2,414505,err,414928,414a51,414c36,414d0000,err
2016-12-09 18:04:32,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:04:02,00,05,06,1,41030200,410491,410542,err,41077d,410c0ef4,410d00,err,410f3f,41100234,411136,411500ff,err,41210000,41247f11681d,412e00,4130ff,err,41335d,41347f2d7ffa,413c0796,413e0291,err,41430053,41447ff2,414505,41478a,414928,414a51,414c36,err,414e7daa
2016-12-09 18:04:33,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:04:03,00,05,06,1,41030200,410491,410543,410684,41077d,err,410d00,410e93,410f3f,41100227,411136,411500ff,err,41210000,41247f7868d1,412e00,4130ff,41314191,41335d,err,413c07cf,413e0294,41423617,41430052,err,414505,41478a,414928,414a51,414c36,414d0000,414e7daa
2016-12-09 18:04:34,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:04:04,00,05,06,1,41030200,410492,410543,410684,41077d,410c0eaf,err,410e90,410f3f,4110022f,411136,411500ff,411f0019,err,41247ec467c3,412e00,4130ff,41314191,41335d,41347ec47ff7,err,413e0299,4142362b,41430055,err,414505,41478a,414928,414a51,414c36,414d0000,err
2016-12-09 18:04:35,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-09,10:04:05,00,05,06,1,41030200,410493,410543,410683,41077d,410c0e90,410d00,410e8d,410f3f,41100227,411136,411500ff,411f001a,err,41247f7568e5,412e00,4130ff,41314191,err,41347f5d7ffb,413c0806,413e0299,41423617,err,41447ff2,414505,41478a,414928,err,414c36,414d0000,414e7daa
