_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-07 15:44:05,1,113.33903,23.15799,60.8,1.5,0.7,1.4,0.000,0.000,2016-12-07,07:43:58,16,00,00,3,41030200,42.3529411765,78,-2.34375,0.0,625.75,0,13.0,42,2.17,19.2156862745,411500ff,13,0,0.973358154297-3.15100097656,0,255,16776,93,0.973297119141--0.08984375,86.6,62.5,13.496,19.2156862745,1,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:06,1,113.33903,23.15799,59.0,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:43:59,15,13,11,3,41030200,42.3529411765,79,-2.34375,0.0,608.5,0,12.5,42,2.1,19.2156862745,411500ff,15,0,0.982177734375-3.20104980469,0,255,16776,93,0.985260009766--0.05859375,86.6,62.5,13.476,19.6078431373,1,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:07,1,113.33903,23.15799,57.6,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:00,15,13,11,3,41030200,42.7450980392,79,-2.34375,0.0,599.0,0,13.0,42,2.09,19.2156862745,411500ff,15,0,0.990081787109-3.22668457031,0,255,16776,93,0.989959716797--0.04296875,88.6,62.5,13.417,19.6078431373,0,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:08,1,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:01,15,13,11,3,41030200,42.7450980392,79,-3.125,0.0,589.0,0,12.0,42,2.06,19.2156862745,411500ff,16,0,0.99169921875-3.23767089844,0,255,16776,93,0.989959716797--0.04296875,90.5,62.5,13.417,19.6078431373,0,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:09,1,113.33903,23.15799,56.3,1.5,0.7,1.4,0.000,0.000,2016-12-07,07:44:02,16,13,11,3,41030200,43.137254902,79,-3.125,0.0,573.25,0,10.0,42,2.07,19.2156862745,411500ff,17,0,0.999176025391-3.28161621094,0,255,16776,93,0.999237060547--0.0078125,92.4,62.5,13.417,20.3921568627,0,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:10,1,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:03,15,13,11,3,41030200,43.137254902,79,-2.34375,0.0,584.25,0,9.0,42,2.09,19.2156862745,411500ff,18,0,1.009765625-3.33410644531,0,255,16776,93,1.01083374023-0.0234375,94.2,62.5,13.417,20.0,0,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:11,1,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:04,15,13,11,3,41030200,43.5294117647,79,-1.5625,0.0,586.5,0,8.5,42,2.1,19.2156862745,411500ff,19,0,1.01315307617-3.35119628906,0,255,16776,93,1.01321411133-0.02734375,94.2,62.5,13.437,20.3921568627,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:12,1,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:05,15,13,11,3,41030200,43.5294117647,80,-0.78125,0.0,593.75,0,7.5,42,2.12,19.2156862745,411500ff,20,0,1.01522827148-3.36096191406,0,255,16776,93,1.01504516602-0.03125,94.2,62.5,13.476,20.0,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:13,1,113.33903,23.15799,56.3,1.5,0.7,1.4,0.000,0.000,2016-12-07,07:44:06,16,13,11,3,41030200,43.5294117647,80,0.0,0.0,595.25,0,7.5,42,2.12,19.2156862745,411500ff,21,0,1.00595092773-3.31579589844,0,255,16776,93,1.005859375-0.01171875,99.4,62.5,13.417,20.0,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:14,1,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:07,15,13,11,3,41030200,43.5294117647,80,0.0,0.0,594.5,0,7.0,42,2.12,19.2156862745,411500ff,22,0,1.00994873047-3.33776855469,0,255,16776,93,1.00881958008-0.015625,101.1,62.6,13.437,20.0,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:15,1,113.33903,23.15799,56.3,1.5,0.7,1.4,0.000,0.000,2016-12-07,07:44:08,16,13,11,3,41030200,43.5294117647,80,0.78125,0.0,595.25,0,7.0,42,2.14,19.2156862745,411500ff,23,0,1.00219726562-3.29748535156,0,255,16776,93,1.00271606445-0.0,102.8,62.6,13.476,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:16,1,113.33903,23.15799,56.3,1.5,0.7,1.4,0.000,0.000,2016-12-07,07:44:09,16,13,11,3,41030200,43.5294117647,80,0.78125,0.0,591.25,0,7.5,42,2.12,19.2156862745,411500ff,24,0,1.00045776367-3.28771972656,0,255,16776,93,1.00030517578--0.00390625,104.5,62.7,13.476,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:17,1,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:10,15,13,11,3,41030200,43.137254902,80,0.78125,0.0,591.25,0,7.5,42,2.14,19.2156862745,411500ff,26,0,1.00378417969-3.30603027344,0,255,16776,93,1.00411987305-0.00390625,106.2,62.7,13.398,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:18,1,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:11,14,13,11,3,41030200,43.5294117647,80,1.5625,0.0,599.0,0,7.5,42,2.14,19.2156862745,411500ff,26,0,1.0012512207-3.28771972656,0,255,16776,93,1.00057983398--0.00390625,106.2,62.8,13.437,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:19,1,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:12,14,13,11,3,41030200,43.5294117647,80,1.5625,0.0,603.75,0,7.5,42,2.1,19.2156862745,411500ff,27,0,1.00045776367-3.28649902344,0,255,16776,93,1.00057983398--0.00390625,109.5,62.8,13.437,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:20,1,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:13,14,13,11,3,41030200,43.5294117647,80,1.5625,0.0,610.75,0,6.5,42,2.14,19.2156862745,411500ff,28,0,0.998107910156-3.27307128906,0,255,16776,93,0.998260498047--0.01171875,111.1,62.8,13.417,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:21,2,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:14,14,13,11,3,41030200,43.137254902,80,1.5625,0.0,587.5,0,7.5,42,2.14,19.2156862745,411500ff,29,0,1.0029296875-3.29748535156,0,255,16776,93,1.0032043457-0.0,112.8,62.9,13.398,20.0,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:22,2,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:15,15,13,11,3,41030200,43.137254902,80,1.5625,0.0,603.0,0,7.5,42,2.15,19.2156862745,411500ff,30,0,0.999847412109-3.28405761719,0,255,16776,93,1.00024414062--0.0078125,114.4,62.9,13.437,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:23,2,113.33903,23.15799,56.3,1.6,0.7,1.4,0.000,0.000,2016-12-07,07:44:16,15,13,11,3,41030200,43.137254902,80,1.5625,0.0,609.25,0,7.5,42,2.14,19.2156862745,411500ff,31,0,0.999572753906-3.28283691406,0,255,16776,93,0.999786376953--0.0078125,114.4,62.9,13.437,20.0,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:24,2,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:17,14,13,11,3,41030200,43.137254902,80,1.5625,0.0,603.0,0,8.0,42,2.14,19.2156862745,411500ff,33,0,0.998718261719-3.27551269531,0,255,16776,93,0.998565673828--0.01171875,117.6,63.0,13.398,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:25,2,113.33903,23.15799,56.3,1.7,0.8,1.5,0.000,0.000,2016-12-07,07:44:18,14,13,11,3,41030200,43.137254902,80,1.5625,0.0,605.25,0,8.5,42,2.15,19.2156862745,411500ff,33,0,1.00006103516-3.28405761719,0,255,16776,93,0.998565673828--0.01171875,119.2,63.0,13.417,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:26,2,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:19,14,13,11,3,41030200,43.137254902,80,1.5625,0.0,607.0,0,8.0,42,2.15,19.2156862745,411500ff,34,0,0.999053955078-3.28283691406,0,255,16776,93,0.999053955078--0.01171875,119.2,63.0,13.417,19.6078431373,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
2016-12-07 15:44:27,2,113.33903,23.15799,56.3,1.6,0.8,1.4,0.000,0.000,2016-12-07,07:44:20,14,13,11,3,41030200,43.137254902,81,1.5625,0.0,601.5,0,8.5,42,2.15,19.2156862745,411500ff,35,0,0.995513916016-3.25964355469,0,255,16776,93,0.99462890625--0.02734375,120.8,63.1,13.417,20.0,0,0.392156862745,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32127
